Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,,
Date,,,,,,,
2018-11-21,1180.6748046875,1187.3651118583455,1164.697112577232,1186.2207452448545,31080,,
2018-11-22,1184.3280029296875,1198.3249505089289,1169.9348829413525,1180.6747417303259,71423,,
2018-11-26,1187.277099609375,1202.3743813985575,1174.6885940949908,1188.465498467548,52835,,
2018-11-27,1193.7034912109375,1200.2177880178785,1183.1397602609557,1187.5413345511874,37254,,
2018-11-28,1231.64501953125,1236.794906907498,1184.020161212763,1193.7476341939948,296500,,
2018-11-29,1220.3768310546875,1247.8866097641433,1210.4293162846125,1239.03954769299,96469,,
2018-11-30,1240.095703125,1243.0888346844556,1209.592914474365,1223.853936997651,150394,,
2018-12-03,1222.9296875,1249.163001112326,1214.8308201006525,1241.240262950508,38145,,
2018-12-04,1216.6353759765625,1232.437055962432,1211.309597393481,1225.3944908618366,25208,,
2018-12-05,1208.4046630859375,1216.7235741783732,1199.4694179905946,1216.5475632964215,24683,,
2018-12-06,1213.3785400390625,1232.3492480690907,1191.1065919409152,1203.2989273018543,54793,,
2018-12-07,1228.8277587890625,1240.3598442031812,1210.5613341512085,1220.9490529956524,61052,,
2018-12-10,1229.5760498046875,1247.2702908482302,1205.191383597056,1213.5102939690698,88064,,
2018-12-11,1232.3931884765625,1248.9430648000143,1214.8309240499595,1223.414029220519,63494,,
2018-12-12,1258.758544921875,1275.572615952606,1230.0603650460362,1251.8041615295122,205421,,
2018-12-13,1266.4610595703125,1285.2557517771343,1257.0857296193506,1276.0124003744556,92886,,
2018-12-14,1258.9345703125,1271.1709366705795,1236.8827861740883,1265.4488667470735,47630,,
2018-12-17,1232.12890625,1288.776941079414,1223.633867130952,1280.6780743458173,458848,,
2018-12-18,1174.2923583984375,1231.512695037803,1163.024349274387,1231.512695037803,602448,,
2018-12-19,1174.4246826171875,1198.3691474568573,1126.8877747204936,1164.6531781710714,796046,1217.7623168945313,
2018-12-20,1156.862548828125,1184.4163645448016,1141.236993752353,1183.8441811250887,274938,1216.5717041015625,
2018-12-21,1146.7828369140625,1166.4137926082835,1140.0044643656283,1157.610762105025,213522,1214.6944458007813,
2018-12-24,1146.298583984375,1160.2514999222687,1143.5256137209944,1148.1912631371242,72811,1212.6455200195312,
2018-12-26,1140.2684326171875,1160.2515265901695,1131.2012090730686,1145.462351512217,138249,1209.9737670898437,
2018-12-27,1152.3287353515625,1164.6530473529492,1146.5626334034685,1153.2090264421724,80301,1206.0079528808594,
