Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,ADANIENSOL.NS,ADANIENSOL.NS,ADANIENSOL.NS,ADANIENSOL.NS,ADANIENSOL.NS,,
Date,,,,,,,
2023-08-16,818.0999755859375,822.9000244140625,795.0,795.0,7337822,,
2023-08-17,822.2000122070312,836.4500122070312,819.0,819.8499755859375,3958662,,
2023-08-18,871.9000244140625,894.0,824.75,824.9000244140625,7798779,,
2023-08-21,923.5499877929688,932.0,878.0,879.0,8978809,,
2023-08-22,960.1500244140625,976.9500122070312,923.8499755859375,945.0999755859375,11493000,,
2023-08-23,890.4000244140625,969.7000122070312,859.0,965.0,4192309,,
2023-08-24,895.1500244140625,934.0,892.0499877929688,907.9500122070312,1134578,,
2023-08-25,874.5499877929688,898.8499755859375,865.0,895.1500244140625,983333,,
2023-08-28,864.9500122070312,899.0,860.0,895.0,995290,,
2023-08-29,857.1500244140625,875.0999755859375,852.5999755859375,869.0999755859375,1218219,,
2023-08-30,841.7000122070312,864.8499755859375,840.0,861.8499755859375,857053,,
2023-08-31,811.9500122070312,830.75,800.0999755859375,820.0,1636383,,
2023-09-01,824.9000244140625,835.8499755859375,791.0499877929688,803.8499755859375,1204025,,
2023-09-04,817.5999755859375,834.9000244140625,815.0,830.0,825805,,
2023-09-05,813.4500122070312,825.8499755859375,811.5,821.6500244140625,684436,,
2023-09-06,855.9500122070312,859.4500122070312,809.0,815.0499877929688,8646350,,
2023-09-07,839.4000244140625,858.9000244140625,833.0999755859375,858.9000244140625,6099751,,
2023-09-08,833.0,846.0,831.0,843.7999877929688,937304,,
2023-09-11,874.9000244140625,877.0,838.0,843.4000244140625,6691473,,
2023-09-12,852.2999877929688,888.75,834.2000122070312,880.0,5946118,857.1625091552735,
2023-09-13,836.9000244140625,854.9000244140625,832.0,852.2999877929688,703403,858.1025115966797,
2023-09-14,851.75,855.0999755859375,835.0,840.9000244140625,4528205,859.5800109863281,
2023-09-15,846.0999755859375,859.9000244140625,839.0499877929688,853.2000122070312,7152425,858.2900085449219,
2023-09-18,855.0999755859375,873.8499755859375,846.2000122070312,873.8499755859375,6408916,854.8675079345703,
2023-09-20,855.2000122070312,860.0,843.9500122070312,859.0,4608210,849.6200073242187,
2023-09-21,847.3499755859375,857.0,844.6500244140625,853.5,771656,847.4675048828125,
2023-09-22,839.0999755859375,858.0,835.0,855.0,543417,844.6650024414063,
2023-09-25,830.4000244140625,844.0,827.5999755859375,838.0,404295,842.4575042724609,
2023-09-26,817.8499755859375,837.25,811.6500244140625,825.0,584558,840.1025024414063,
2023-09-27,816.2000122070312,822.75,812.5499877929688,822.5999755859375,443309,838.0550018310547,
2023-09-28,830.5,839.6500244140625,816.4000244140625,817.0,861650,837.4950012207031,
2023-09-29,810.25,825.9000244140625,807.2000122070312,825.0499877929688,1106739,837.4100006103515,
2023-10-03,807.75,816.7999877929688,806.7000122070312,815.9000244140625,506021,836.5524993896485,
2023-10-04,808.0999755859375,826.9500122070312,801.0499877929688,807.7000122070312,711980,836.0774993896484,
