Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,,
Date,,,,,,,
2018-11-21,346.6561279296875,348.1914965677736,338.30758109334016,340.8985175004055,3161864,,
2018-11-22,353.2773742675781,355.91627904916834,344.83289068037783,344.83289068037783,4446824,,
2018-11-26,354.1410217285156,355.43648997577907,341.61823033598694,353.56528409392917,3906643,,
2018-11-27,354.1410217285156,357.9314604363009,348.527374798244,353.56528409392917,4995025,,
2018-11-28,350.6385192871094,354.09309189424215,347.6157792376402,353.3254221080905,2583045,,
2018-11-29,354.8607177734375,356.3481180665672,348.5273696094994,351.69404369146844,3425961,,
2018-11-30,350.87835693359375,359.4668038915001,348.9111851558351,354.8606981451052,4137466,,
2018-12-03,360.4743957519531,364.5527032372128,350.2546428517172,352.605678880638,4303979,,
2018-12-04,358.69915771484375,360.4744269838891,355.6764177619959,359.3229223414693,2615507,,
2018-12-05,359.6107482910156,361.52995175087426,357.6435764585488,359.85064872349795,4847267,,
2018-12-06,349.2471008300781,360.1385582690903,347.95163249118013,357.83551971367393,6200377,,
2018-12-07,358.3633117675781,359.4668480047872,349.05516238995654,350.0627325881206,3286454,,
2018-12-10,344.64093017578125,350.73440657096194,343.15355931734314,345.5525634662553,2917295,,
2018-12-11,341.3782958984375,348.8631772499267,332.98178124176474,332.98178124176474,6177739,,
2018-12-12,359.32293701171875,360.95424264292996,341.18643798471567,342.57787242976315,2845017,,
2018-12-13,356.0601806640625,361.2420530039539,355.0526106450382,359.7546528750153,2369770,,
2018-12-14,353.7092590332031,356.1562321147537,352.17389016735405,355.05269580904906,2380991,,
2018-12-17,356.3961181640625,362.3456612967197,354.23701402015496,354.23701402015496,3175781,,
2018-12-18,357.83551025390625,359.2269445968134,350.2546617872367,354.0930690396996,2687027,,
2018-12-19,360.66632080078125,362.1057234146319,356.97184823495377,358.79508568888696,1607147,354.049870300293,
2018-12-20,359.99462890625,361.6259637684736,354.09308337363433,359.0830247177217,2746343,354.71679534912107,
2018-12-21,346.51220703125,364.1688738456078,344.64097185491335,359.1789328985248,10909545,354.3785369873047,
2018-12-24,346.51220703125,351.9339512065261,343.8253044886968,346.65614144064773,2268806,353.9970962524414,
2018-12-26,361.3380432128906,363.2092784219522,343.05764078163253,345.6485773349913,4519020,354.35694732666013,
2018-12-27,368.4870910644531,370.21436258992856,358.55520658116194,363.9289825161298,5043675,355.24937591552737,
2018-12-28,371.7497253417969,374.9643971758085,368.48708513246436,369.3987185413425,3282766,356.0938262939453,
2018-12-31,372.0376281738281,374.196732215703,370.07042692039744,371.55782727563377,2062181,357.151789855957,
2019-01-01,373.28509521484375,375.10833275355014,368.53505465439054,370.6941586755561,1233249,357.7923248291016,
2019-01-02,365.8961486816406,373.23712576015504,362.72947450697666,372.32549235107655,1506543,358.1521743774414,
2019-01-03,362.8254089355469,369.73452361059157,361.38600638432257,366.95168453516857,1902063,358.31290740966796,
2019-01-04,366.7118225097656,368.439123322939,360.66634287546617,363.3532162052164,1669709,359.18614349365237,
2019-01-07,366.2320251464844,371.3179323133308,364.02495269606635,369.44669706883315,1260331,359.57957916259767,
2019-01-08,363.44915771484375,367.5274650951423,360.5703525052212,367.5274650951423,2154121,360.5199905395508,
2019-01-09,362.0577087402344,366.567848432215,358.2193019503682,366.567848432215,1166498,361.5539611816406,
