Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,,
Date,,,,,,,
2018-11-21,17146.84375,17493.768393755705,16924.660801969854,17087.472085617395,32426,,
2018-11-22,17438.4296875,17522.675245630493,17183.674469636597,17183.674469636597,16656,,
2018-11-26,17131.3125,17522.675516559128,17106.941450381943,17453.959141984385,29569,,
2018-11-27,16810.453125,17460.372221110993,16748.470598830296,17179.09320175427,64225,,
2018-11-28,17121.5546875,17159.806803284475,16899.600794115846,16908.809504249966,17806,,
2018-11-29,17209.05078125,17407.229492690974,17121.551943597915,17178.174943863523,62651,,
2018-11-30,17383.638671875,17447.773952179177,17087.471109613205,17316.525682128125,31941,,
2018-12-03,17595.056640625,17764.465766115554,17408.14810309701,17425.785305780413,22537,,
2018-12-04,16962.728515625,17659.741616116386,16915.314216643168,17600.507742678976,63880,,
2018-12-05,16815.306640625,17279.875809724894,16760.28880963245,16967.354129515687,49108,,
2018-12-06,16844.763671875,17078.30806005755,16766.793857245342,16830.929134294915,23837,,
2018-12-07,16980.31640625,17027.08826609985,16858.412873453908,16931.710320729795,11688,,
2018-12-10,16935.240234375,17023.152448595178,16775.95605052595,16858.415692500137,15029,,
2018-12-11,17504.859375,17615.995607239074,16881.326148466753,16904.185084633275,72553,,
2018-12-12,17565.78515625,17683.014581162155,17439.300494188625,17588.13945293757,27868,,
2018-12-13,17977.169921875,18094.399364501893,17637.297591699484,17655.530697956932,25703,,
2018-12-14,18041.57421875,18107.221615495622,17787.507966937188,17960.626692736965,19324,,
2018-12-17,18014.59375,18171.358350188086,17940.471328343312,18095.312227913815,25278,,
2018-12-18,18197.51171875,18214.415226341254,17869.04754074983,18015.595905208655,31179,,
2018-12-19,17979.87109375,18324.369235375052,17948.719666049863,18309.709739986753,56190,17382.80302734375,
2018-12-20,17964.33984375,18106.307162303103,17591.345919203974,17866.257952884855,60826,17423.67783203125,
2018-12-21,18231.095703125,18315.205265512603,17850.86507855333,18040.339753774042,31018,17463.3111328125,
2018-12-24,17788.837890625,18221.659809622506,17710.54774614125,18196.096959017923,14555,17496.18740234375,
2018-12-26,17890.58203125,17994.52627502177,17564.590864912097,17820.44480902105,10735,17550.19384765625,
2018-12-27,17783.021484375,18085.418306663247,17638.53276276054,17956.59835195683,30265,17583.2671875,
2018-12-28,17985.138671875,18029.346210988744,17655.666883341706,17770.056396083273,8290,17622.07158203125,
2018-12-31,17968.140625,18134.7098371526,17921.826861009955,18018.350106474158,9793,17651.2966796875,
2019-01-01,17936.34765625,18067.8249830792,17857.873200492148,18040.01811540718,4603,17668.36123046875,
2019-01-02,17845.916015625,17984.400968408507,17803.76997737673,17879.998617717247,10810,17712.52060546875,
2019-01-03,17682.875,18050.92095649122,17601.560627711435,17875.41862929429,18865,17755.8990234375,
2019-01-04,17810.13671875,17860.070611164476,17607.240912065008,17683.011442190214,6798,17804.16767578125,
2019-01-07,17875.787109375,17948.71773318017,17799.60319458522,17875.42026413196,8827,17848.9412109375,
2019-01-08,17683.5625,17907.395345687073,17637.477793367718,17880.000060717026,6385,17886.35732421875,
2019-01-09,17844.591796875,17934.565527128878,17655.576994311985,17737.990132463343,8981,17903.3439453125,
2019-01-10,18053.166015625,18086.10334886829,17765.47345934677,17811.284375951585,8856,17927.71298828125,
2019-01-11,17882.568359375,18049.502637516194,17820.448035517256,17960.720715883588,11700,17922.98291015625,
2019-01-14,17514.51953125,17838.769531531372,17435.450969063913,17838.769531531372,18658,17896.63017578125,
2019-01-15,17527.298828125,17673.847197829495,17447.312271978622,17559.319935013078,8369,17872.2654296875,
2019-01-16,17490.0546875,17682.918603410468,17454.918080195017,17597.343472372442,6336,17836.892578125,
