Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,,
Date,,,,,,,
2018-11-21,101.77179718017578,106.835458151614,101.36669859671294,105.01253829998032,15524294,,
2018-11-22,99.74632263183594,102.20803873606319,98.95171174689068,101.83410308319735,7144756,,
2018-11-26,102.0054931640625,103.73492414411656,100.79021656919383,102.862420309231,14290304,,
2018-11-27,104.54510498046875,104.85671483137925,100.38511156889814,101.44458316007821,10291628,,
2018-11-28,99.76187896728516,104.48276569622531,99.27888756465869,104.29580741751619,10244930,,
2018-11-29,102.36384582519531,103.45448040780775,101.33553702256373,102.00549636425272,17783444,,
2018-11-30,101.08623504638672,103.39214607115863,99.83979562655561,102.5508051685195,18242294,,
2018-12-03,100.94601440429688,101.88084395145353,98.98286664952117,100.33837139481389,9158842,,
2018-12-04,103.98422241210938,104.35814856830363,99.87096812691946,100.33838295434656,10470422,,
2018-12-05,102.65988159179688,105.43320769811567,102.22362014014162,103.50122258517676,9539930,,
2018-12-06,101.24205780029297,103.31426179871463,100.65000087354103,102.20805042266706,7213812,,
2018-12-07,101.39784240722656,103.12728276544942,100.16698921616593,102.33267194910556,10294418,,
2018-12-10,102.9091567993164,103.61027898795672,98.84265190903393,99.09193599449695,11618054,,
2018-12-11,101.81854248046875,102.83127473161342,100.21375327672474,101.5848350378969,10861812,,
2018-12-12,102.644287109375,102.90915739519959,101.08623779226373,101.80294618388191,6257126,,
2018-12-13,104.35814666748047,105.10600847582613,102.75335769112692,102.75335769112692,5970876,,
2018-12-14,107.5988998413086,108.87650239467283,103.06497938207427,104.28025614860904,7198212,,
2018-12-17,109.1725082397461,109.67108588060988,106.39918259376181,107.50539371072229,7454414,,
2018-12-18,110.076171875,111.43167653036556,108.65835095970495,110.02943230265856,8987630,,
2018-12-19,112.72486877441406,113.11438110604647,110.65266507204542,111.68097382372358,7350428,103.6406639099121,
2018-12-20,115.63842010498047,115.88770418733205,110.96427223905222,111.24471920909228,7217516,104.33399505615235,
