Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,ETERNAL.NS,ETERNAL.NS,ETERNAL.NS,ETERNAL.NS,ETERNAL.NS,,
Date,,,,,,,
2021-07-23,126.0,138.89999389648438,115.0,116.0,694895200,,
2021-07-26,140.64999389648438,143.75,125.30000305175781,126.3499984741211,249723800,,
2021-07-27,132.89999389648438,147.8000030517578,127.75,141.6999969482422,240341900,,
2021-07-28,131.1999969482422,135.0,123.55000305175781,131.0,159793700,,
2021-07-29,141.5500030517578,144.0,132.1999969482422,134.9499969482422,117973000,,
2021-07-30,133.5,142.6999969482422,131.0,142.60000610351562,88312520,,
2021-08-02,139.6999969482422,140.75,135.14999389648438,135.75,66909730,,
2021-08-03,139.39999389648438,140.8000030517578,137.0,137.0,46610000,,
2021-08-04,138.39999389648438,141.0,135.25,139.8000030517578,41134410,,
2021-08-05,134.9499969482422,138.89999389648438,132.0,138.75,38437130,,
2021-08-06,131.35000610351562,136.1999969482422,130.10000610351562,135.5,31975350,,
2021-08-09,130.60000610351562,133.5500030517578,127.25,132.39999389648438,41358290,,
2021-08-10,125.19999694824219,131.4499969482422,122.0999984741211,131.0,43164000,,
2021-08-11,135.64999389648438,138.75,123.0,123.0,111702700,,
2021-08-12,135.4499969482422,137.39999389648438,132.0500030517578,135.64999389648438,51256670,,
2021-08-13,137.35000610351562,139.75,132.10000610351562,133.85000610351562,33674300,,
2021-08-16,134.9499969482422,136.89999389648438,132.25,136.39999389648438,20305360,,
2021-08-17,132.5,134.35000610351562,130.60000610351562,132.8000030517578,15815180,,
2021-08-18,134.9499969482422,136.8000030517578,133.3000030517578,134.5,22566920,,
2021-08-20,139.3000030517578,141.4499969482422,133.0,134.9499969482422,53789580,134.777498626709,
2021-08-23,127.25,137.8000030517578,124.75,137.8000030517578,68470860,134.839998626709,
2021-08-24,125.0,127.94999694824219,120.5,127.25,56713550,134.05749893188477,
2021-08-25,124.25,128.5,123.0999984741211,126.0,51078810,133.62499923706054,
2021-08-26,125.8499984741211,127.1500015258789,124.3499984741211,125.25,20645400,133.35749931335448,
2021-08-27,124.69999694824219,129.5,124.0999984741211,126.5999984741211,22227590,132.5149990081787,
2021-08-30,133.5500030517578,135.4499969482422,127.55000305175781,127.8499984741211,45239080,132.5174991607666,
2021-08-31,134.5500030517578,135.1999969482422,131.35000610351562,134.0,24640920,132.25999946594237,
2021-09-01,132.60000610351562,135.10000610351562,130.6999969482422,134.5500030517578,16162260,131.92000007629395,
2021-09-02,137.60000610351562,138.5,131.5,132.0,27882460,131.8800006866455,
