Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,,
Date,,,,,,,
2018-11-21,395.50469970703125,407.086997476813,393.25647279002806,402.69093476311,2503064,,
2018-11-22,393.05572509765625,402.26938507570253,391.5903872493714,396.6488547453035,3129880,,
2018-11-26,401.667236328125,403.83516524616687,386.612242462753,395.2437722788996,4758562,,
2018-11-27,410.7604675292969,413.1090368000554,398.6562425096744,400.94460650636563,4103018,,
2018-11-28,418.7696533203125,420.63648215492555,406.42455971376137,410.7804854933357,2460574,,
2018-11-29,406.8662109375,419.67297700655917,404.8789469515998,418.85000012303806,3260512,,
2018-11-30,407.4885559082031,412.0251476113212,403.17279041459403,408.6929555808382,4219388,,
2018-12-03,408.773193359375,411.7841675922414,403.35339563378875,409.93743150198827,2908898,,
2018-12-04,416.0196838378906,418.7295828640964,408.3115217070797,408.73305665488624,2836286,,
2018-12-05,421.96142578125,424.75159862683824,410.2988032104241,416.09997510109866,3873412,,
2018-12-06,406.4847717285156,427.7624931128231,405.07963918426896,421.27880028580074,4051262,,
2018-12-07,386.190673828125,401.46646803618825,375.15034595712984,401.46646803618825,21093670,,
2018-12-10,378.1815490722656,389.70364575469455,376.2143528690787,385.38787966920955,6182964,,
2018-12-11,384.1431579589844,387.4753490541425,373.64482512814175,377.7799246094445,5605848,,
2018-12-12,389.9242858886719,391.02831861576976,378.70329381618143,387.415120599813,3653708,,
2018-12-13,392.6542663574219,394.46086542767557,386.79286584202606,389.44253467697087,2756644,,
2018-12-14,385.8896179199219,388.9407536230147,381.39318806517605,387.8166522852211,4611032,,
2018-12-17,390.08489990234375,391.0283362921757,382.95887015985284,387.4552749578938,2792580,,
2018-12-18,395.5247497558594,396.9700191682758,385.1669202906951,389.4023864194394,3874502,,
2018-12-19,384.2636413574219,394.8824098804156,382.99901217616747,393.4371403906123,6117266,398.7104232788086,
2018-12-20,385.2071228027344,387.2947535904463,380.5902578603358,380.71069291464056,4527954,398.19554443359374,
2018-12-21,383.1796875,387.01368749092336,379.3858243557288,384.22349054865145,10439250,397.7017425537109,
2018-12-24,376.51531982421875,383.76180922474174,375.43137995595447,383.4004795996078,2941564,396.44414672851565,
2018-12-26,378.5025634765625,380.4697588794412,373.7652642758209,376.5755294207519,2434064,394.8312515258789,
2018-12-27,380.9113464355469,385.407775382388,378.44234257664334,380.99164462279816,5096808,392.93833618164064,
2018-12-28,384.74542236328125,386.61225144739973,381.393186786116,382.23625666074105,1556666,391.83229675292966,
2018-12-31,387.1542053222656,388.0575049375799,383.6413734849324,386.39143368258686,1437004,390.8155792236328,
2019-01-01,385.3476257324219,387.415188092062,382.53736011931886,386.2107885435893,717468,389.64430084228513,
2019-01-02,379.9277038574219,386.21066258763784,377.0371654866438,385.00626343195916,2270096,387.8397018432617,
2019-01-03,380.7307434082031,385.4078379092593,379.38584044192714,381.39317293103784,2809224,385.7781677246094,
2019-01-04,374.3072814941406,381.61397669525627,371.3565125204067,379.78730902087,3077278,384.16929321289064,
2019-01-07,378.00079345703125,381.3931904199015,375.7325223424663,377.33838840739224,2344752,383.7597991943359,
2019-01-08,379.44610595703125,380.59027578216245,374.608414599769,380.59027578216245,3031576,383.8230270385742,
2019-01-09,376.73614501953125,380.8110149854034,374.28718485188443,380.1887468579969,2471720,383.4526763916016,
2019-01-10,375.7123107910156,378.58280527720467,374.16667499295306,378.58280527720467,1832096,382.74207763671876,
2019-01-11,377.39849853515625,377.77989653013464,369.3491018147969,375.37109804003813,4331368,381.97928924560546,
2019-01-14,376.2544250488281,378.98439246673007,372.56092818763295,377.7799929143994,1956808,381.4975296020508,
2019-01-15,380.4698181152344,383.76184841254997,372.962389444222,372.962389444222,3693892,381.0167755126953,
