Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,
Date,,,,,,,
2018-11-21,515.2092895507812,532.6436964816639,509.3839541137346,532.6020971014067,14359086,,
2018-11-22,516.5823974609375,522.7406292017122,513.253634529252,517.8306835603195,6632975,,
2018-11-26,517.1649780273438,522.6158175582657,499.1896264381377,516.7904820122341,15075209,,
2018-11-27,531.686767578125,533.4343480893389,520.3689412614881,520.5353895941988,12285851,,
2018-11-28,554.5719604492188,556.485989099619,532.6021033681257,533.3926947738917,17719890,,
2018-11-29,550.1197509765625,561.6456247194096,548.2473215649385,558.4000600887686,13399070,,
2018-11-30,555.4457397460938,559.2321975920445,550.0364997396231,550.0780991195556,10445773,,
2018-12-03,557.8590698242188,565.0575403982914,554.197460862912,560.1892446457437,8260890,,
2018-12-04,570.2586669921875,572.7552390476075,558.6495967759067,559.6898351323317,7827923,,
2018-12-05,567.0548095703125,568.9272387981076,559.6482914187654,568.3862944818094,5177288,,
2018-12-06,556.3195190429688,570.4251624816944,553.0323554061258,562.6441484561432,8039771,,
2018-12-07,568.2198486328125,570.6748215673646,553.9061572041518,559.2321984590142,5553948,,
2018-12-10,556.9021606445312,569.0521274718639,553.5733970433002,557.484704433327,5121196,,
2018-12-11,561.312744140625,567.4709769212997,549.7452706825388,556.902142669931,7120933,,
2018-12-12,564.6414794921875,566.4307100980838,558.0671516024593,563.4763920102694,6926183,,
2018-12-13,580.6611328125,582.533562119312,565.8897460587602,567.5541276648155,7521474,,
2018-12-14,587.5682983398438,593.9345782137087,577.8733060919682,580.4114778481547,9560576,,
2018-12-17,577.873291015625,592.3949793180732,576.5001559279427,592.3949793180732,4778465,,
2018-12-18,563.0601806640625,571.2988885214392,561.3541999683516,571.2988885214392,8021298,,
2018-12-19,553.2820434570312,558.8577320803576,550.1613278984041,558.8577320803576,8295459,555.2897064208985,
2018-12-20,555.11279296875,558.857651096436,546.2499925422932,549.2458587272863,11705260,557.2848815917969,
