Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,,
Date,,,,,,,
2018-11-21,1259.7777099609375,1270.2451811348126,1251.8260644499221,1266.8758305217227,1320423,,
2018-11-22,1267.0107421875,1275.4116352141098,1254.4766909545483,1262.3834783204115,1723570,,
2018-11-26,1277.6580810546875,1284.84603087778,1267.0558111938622,1267.0558111938622,2630117,,
2018-11-27,1286.2835693359375,1288.4399761691732,1271.6830465934347,1275.3668488572,1956946,,
2018-11-28,1260.94580078125,1288.4396799659867,1256.9924074424096,1286.2832736284936,1390580,,
2018-11-29,1278.06201171875,1289.7873955500481,1264.629578012325,1270.1553348716652,2816724,,
2018-11-30,1287.092041015625,1292.1685516298546,1266.8759356593587,1280.4881352017894,2018571,,
2018-12-03,1282.599609375,1293.7858107829052,1268.6729586252188,1289.3832799022962,1115862,,
2018-12-04,1275.771240234375,1284.6213813383133,1271.3685991213242,1278.6015173555797,1061729,,
2018-12-05,1253.2188720703125,1274.9623725363863,1248.1423614770486,1268.6729175626338,1582751,,
2018-12-06,1239.471923828125,1255.240530413318,1232.7781903656899,1246.9294645956957,1574405,,
2018-12-07,1257.80126953125,1261.4850715221799,1232.8231024484385,1246.2106796305295,1185686,,
2018-12-10,1228.9146728515625,1245.6716011290118,1220.334014740554,1235.1591597612455,1657418,,
2018-12-11,1223.209228515625,1230.8014556851467,1207.2609668608648,1220.1543282909465,2302505,,
2018-12-12,1258.1605224609375,1264.764427910357,1226.8929040302294,1229.6782120119603,1751549,,
2018-12-13,1281.656005859375,1283.9472081501501,1263.2818577040664,1270.2002137642635,1863210,,
2018-12-14,1268.1337890625,1283.5429750243243,1262.4283770878953,1278.9605702818458,2189734,,
2018-12-17,1265.0791015625,1279.8144198518078,1253.443652277135,1253.7581031292846,1610515,,
2018-12-18,1283.4981689453125,1284.8459094097282,1262.3835683361317,1262.3835683361317,1568498,,
2018-12-19,1289.1136474609375,1292.0337515586884,1281.6112480995173,1285.7442965789173,2073536,1266.172900390625,
2018-12-20,1303.5345458984375,1305.5111879271892,1278.7810035907585,1285.3849095497626,2782410,1268.3607421875,
2018-12-21,1275.861083984375,1311.531240840907,1271.5482702512556,1303.534734466504,1975704,1268.8032592773438,
2018-12-24,1262.203857421875,1283.677766791007,1257.8910442555266,1282.6894457635424,1390194,1268.0305480957031,
2018-12-26,1278.241943359375,1286.6428365925888,1243.7847356979594,1256.8128929120603,1712084,1267.628466796875,
2018-12-27,1280.3983154296875,1288.754239885895,1265.5282028625982,1284.1269760297168,1872745,1268.601092529297,
2018-12-28,1293.291748046875,1301.0187712996535,1281.5215034744497,1281.7461268810966,1918767,1269.3625793457031,
2018-12-31,1291.62939453125,1302.8155949054083,1285.9238729755707,1298.323127336769,1487860,1269.5894470214844,
2019-01-01,1295.5380859375,1298.323394467258,1280.5331753633486,1298.323394467258,786846,1270.2363708496093,
2019-01-02,1280.8026123046875,1298.2334098832957,1273.2552442142248,1294.7292629470744,2058504,1270.487939453125,
2019-01-03,1253.3984375,1283.9472166218638,1249.804463485663,1281.251736111111,2290756,1270.4969177246094,
2019-01-04,1247.154052734375,1264.7195363473404,1234.1258958751064,1259.5981668330396,2711485,1270.8810241699218,
2019-01-07,1243.33544921875,1265.618024004124,1239.067604750331,1255.195520501337,1851513,1270.157733154297,
2019-01-08,1241.8978271484375,1252.3652996684473,1235.4287170111195,1246.6598871657661,1437271,1270.8068908691407,
2019-01-09,1245.3570556640625,1252.095757434159,1232.733177142992,1248.4568146065506,1413005,1271.9142822265626,
2019-01-10,1251.2420654296875,1256.9026185290757,1242.8411728769331,1247.1090171358635,1063647,1271.568359375,
2019-01-11,1230.57666015625,1252.4100958028555,1222.8946066356896,1251.6014297271697,2489197,1269.0143920898438,
2019-01-14,1198.5006103515625,1228.420380809196,1195.894957029219,1228.420380809196,3080984,1265.532733154297,
2019-01-15,1204.7901611328125,1211.1694441326458,1194.9965583801327,1203.9814949093065,3079248,1262.5182861328126,
2019-01-16,1205.913330078125,1223.299161074146,1200.3875719390812,1206.5872003468035,2454470,1258.6390441894532,
2019-01-17,1209.417236328125,1214.583574024811,1201.2408576211672,1208.5636016836509,1610419,1254.6542236328125,
2019-01-18,1184.1248779296875,1214.763491390565,1179.7222368312218,1213.7302016920362,2135781,1248.683740234375,
2019-01-21,1181.11474609375,1201.5105059118039,1144.1865732554731,1149.1732563553542,8813681,1243.9464233398437,
2019-01-22,1169.0750732421875,1187.3593976876489,1166.3346236474238,1183.2263486970346,2544978,1239.2899841308595,
2019-01-23,1169.3443603515625,1174.2412158960392,1162.24634921047,1168.9400821349534,1821323,1233.8451049804687,
2019-01-24,1163.8636474609375,1173.0283478675988,1156.3612479358492,1172.5341325223646,1654706,1228.0183715820312,
2019-01-25,1154.9686279296875,1180.7104931477736,1151.4196218550358,1168.0417545154478,3136788,1221.1022155761718,
2019-01-28,1168.4459228515625,1202.0945729598534,1160.5392452187225,1163.9534549876564,8004136,1214.9430419921875,
2019-01-29,1148.3197021484375,1175.9483782503178,1139.4694531170092,1171.6355654260747,3685535,1207.5821228027344,
2019-01-30,1163.054931640625,1176.1280566616756,1150.9702372678428,1153.9353098538713,2385425,1201.6947387695313,
2019-01-31,1180.8902587890625,1187.5390241159118,1164.9419963567548,1171.6357302382726,5852257,1198.0693298339843,1241.994892578125
2019-02-01,1190.14453125,1199.0846078565153,1179.7220280334118,1181.9682619024777,2515736,1195.2188537597656,1240.6022290039064
2019-02-04,1174.6905517578125,1192.1662083641309,1170.377738616401,1192.1662083641309,2308931,1191.7866088867188,1238.7558251953126
2019-02-05,1172.174560546875,1188.7068623521993,1168.0415125153886,1177.65534878511,1447400,1188.3004455566406,1236.6461547851563
2019-02-06,1180.97998046875,1187.8085097234148,1161.7971645206685,1175.2295996355722,2034886,1185.081591796875,1234.5400830078124
2019-02-07,1164.49267578125,1186.7752512847935,1158.3379068691218,1180.6205920520601,1556295,1180.744122314453,1232.6110205078126
2019-02-08,1133.67431640625,1167.053376071071,1128.1036998764084,1163.5492290438626,2993525,1175.8990051269532,1229.7232666015625
2019-02-11,1119.97216796875,1131.2033369215053,1097.0605833051293,1131.2033369215053,2981408,1171.9725830078125,1226.380869140625
2019-02-12,1120.2867431640625,1136.5045968044813,1115.5247928069416,1118.17530510236,1571390,1167.747412109375,1223.1346118164063
2019-02-14,1102.9906005859375,1106.7193705533107,1079.1805227944515,1095.2635784083507,6974738,1162.6012756347657,1219.6789990234374
2019-02-15,1116.91748046875,1126.6212561609368,1105.9559013581804,1117.7261467229998,3620228,1157.9762878417969,1216.9529711914063
2019-02-18,1118.1754150390625,1131.6977891609963,1114.132193369576,1118.6246618912276,2186849,1154.6788146972656,1214.527041015625
2019-02-19,1130.574462890625,1141.086793414897,1118.624454961848,1118.624454961848,2389086,1152.1518005371095,1211.9825048828125
2019-02-20,1146.9720458984375,1152.4528349079685,1135.8755622244616,1136.5944009743057,2433082,1151.046649169922,1210.34365234375
2019-02-21,1153.7554931640625,1160.4043670676517,1136.6841164902062,1151.8686787307236,2392129,1150.2672058105468,1208.9545776367188
2019-02-22,1150.38623046875,1153.1266797529597,1137.0436227735051,1151.8687668080865,2390188,1149.5933349609375,1206.799091796875
2019-02-25,1146.343017578125,1155.8670276357007,1135.6958905401893,1150.3862387074216,5873730,1149.1620544433595,1204.09283203125
2019-02-26,1137.358154296875,1145.5793930534917,1125.812532938059,1135.5163081392132,2417931,1147.607666015625,1201.4773193359374
2019-02-27,1154.2945556640625,1163.5490825865036,1139.2897580847,1141.5809603816233,3555914,1147.9064086914063,1199.2616284179687
2019-02-28,1161.707275390625,1170.692211538677,1144.05196360322,1161.7522439431239,9321535,1147.8390258789063,1196.825810546875
2019-03-01,1175.7237548828125,1178.7785451473565,1165.570734101941,1168.3111832456252,2831577,1147.5807006835937,1194.5580126953125
2019-03-05,1173.2530517578125,1177.386100610932,1147.4213593265642,1169.8387320168786,3948051,1146.7361267089843,1191.9523828125
2019-03-06,1183.3160400390625,1192.7951911412003,1177.475831792856,1177.475831792856,2776738,1147.1674011230468,1190.1014819335937
2019-03-07,1215.122802734375,1219.5254434412636,1177.0266510248662,1189.4707658192876,6207580,1149.3148132324218,1189.1598608398438
2019-03-08,1203.4422607421875,1224.6466861975518,1201.2858543258449,1212.9662702616984,4868283,1150.4379272460938,1187.6638671875
2019-03-11,1209.8665771484375,1213.8648297180166,1203.9814003124666,1207.1710964014692,2661353,1152.7066223144532,1186.253232421875
2019-03-12,1247.9178466796875,1260.5865851505234,1217.4588901489374,1217.4588901489374,6631152,1158.418798828125,1185.3457543945312
2019-03-13,1238.663330078125,1255.6898506374453,1233.4969915650825,1254.0275496332063,2241672,1164.3533569335937,1184.2864331054689
2019-03-14,1239.696533203125,1254.2970540688984,1237.2256758258402,1244.14403261048,1838850,1170.3238464355468,1183.1696020507814
2019-03-15,1254.7462158203125,1267.5947171831021,1238.6631596823704,1245.3120337464757,5723980,1177.9116271972657,1182.6484741210938
2019-03-18,1238.9327392578125,1268.4032609678836,1231.2505757739746,1255.1954500679847,2450686,1184.0123901367188,1182.35916015625
2019-03-19,1220.109375,1235.3837666350528,1209.8216668587381,1231.834760685726,4053209,1189.1090881347657,1181.8182666015625
2019-03-20,1231.744873046875,1241.7181298675303,1222.8497646524665,1223.748258234136,3871744,1194.1676086425782,1181.586455078125
2019-03-22,1253.1290283203125,1271.3684929746769,1236.5068960800077,1239.0227221286782,3788604,1199.4754577636718,1181.8110791015624
2019-03-25,1237.0010986328125,1248.0076455427468,1231.026094088683,1246.2106582921454,1666203,1203.6377380371093,1181.6439599609375
2019-03-26,1233.4520263671875,1247.827923599069,1228.9145899316181,1239.7414814061356,2021089,1207.7910278320312,1181.2881591796875
2019-03-27,1227.7464599609375,1249.8943477678501,1224.7814970718393,1239.0225978157146,2558997,1211.8611999511718,1181.2315551757813
2019-03-28,1245.941162109375,1251.152469408476,1225.5453991189668,1231.834854979548,3184285,1217.290350341797,1182.1803662109376
2019-04-01,1268.8525390625,1279.4548067542694,1248.9958536744525,1248.9958536744525,3842703,1223.0182495117188,1183.4616137695311
2019-04-02,1266.6512451171875,1282.105289854063,1261.035660593703,1271.4581635334132,2737093,1228.265447998047,1184.6763720703125
2019-04-03,1238.1689453125,1271.3682344897938,1235.4284964123437,1266.3366930948262,2366304,1231.3877075195312,1185.25140625
2019-04-04,1229.768310546875,1252.410418095844,1227.0728293871935,1244.3239746168,1980318,1234.2134704589844,1186.1642749023438
2019-04-05,1234.3507080078125,1251.3771200141814,1231.205980009213,1234.3057394503548,2037782,1236.765203857422,1187.228994140625
2019-04-08,1234.215576171875,1246.03078723031,1226.8478639151995,1239.6513958540945,1013017,1237.7198425292968,1188.5318041992186
2019-04-09,1235.6082763671875,1246.2105440455302,1227.342179643976,1236.2372876548718,2209945,1239.328143310547,1189.8570825195313
2019-04-10,1232.3289794921875,1241.7181940340724,1226.443802356374,1230.9362704968735,2014958,1240.4512634277344,1191.2263891601563
2019-04-11,1238.124267578125,1247.0642356529552,1232.4188547541207,1232.4188547541207,3110225,1239.9615844726563,1192.889501953125
2019-04-12,1222.7598876953125,1241.5832835969868,1220.4238264134851,1239.9210924741128,2751659,1239.1664123535156,1193.97578125
2019-04-15,1219.1658935546875,1229.1391498080422,1216.560240380182,1226.4436692163579,1933204,1238.1398803710938,1195.392705078125
2019-04-16,1241.1790771484375,1249.714766322116,1221.9512922318515,1221.9512922318515,3217456,1237.4615234375,1196.9551879882813
2019-04-18,1222.5804443359375,1246.7499489886484,1219.615480665315,1246.2108746557549,2594906,1236.6439086914063,1197.7889916992187
2019-04-22,1222.0863037109375,1231.745111584394,1215.2128045441764,1223.748495223045,3101477,1236.7427551269532,1198.4278271484375
2019-04-23,1211.3489990234375,1226.443735018499,1200.9264954456055,1223.4786623368072,2016454,1235.7229614257812,1199.16099609375
2019-04-24,1222.535400390625,1225.0511167897782,1212.9664211324775,1215.6619020683277,1753395,1234.1932800292968,1200.168212890625
2019-04-25,1217.59375,1240.4155117379908,1214.8982689210109,1228.106082336296,2886022,1233.2229125976562,1200.90048828125
2019-04-26,1220.3341064453125,1228.240894922281,1213.864995640089,1220.3341064453125,1767153,1232.5670166015625,1202.0173168945312
2019-04-30,1211.6634521484375,1227.7913665863998,1203.9812888589652,1226.4436263376772,1905624,1231.7628662109375,1203.577099609375
2019-05-02,1220.8282470703125,1236.7765093595474,1205.7784784311752,1212.4722122526432,1985540,1230.5072204589844,1205.5942211914062
