Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,,
Date,,,,,,,
2018-11-21,720.535400390625,738.0546062294208,716.4132713104505,738.0546062294208,1851514,,
2018-11-22,698.98779296875,724.1423948358381,696.1772267611054,721.4723226299063,2578750,,
2018-11-26,700.6741943359375,707.3258449725035,692.5703720475805,700.7678570058711,2676798,,
2018-11-27,704.2810668945312,706.2953289340194,691.4929674499389,699.83100361851,2179714,,
2018-11-28,701.142578125,711.2606046320263,698.4725060257522,707.0447554890059,2007876,,
2018-11-29,724.3765869140625,731.0282371997812,704.5152415407856,708.2626630383429,5038807,,
2018-11-30,740.9590454101562,745.7369856366355,727.6556857377003,728.8735864639477,5214780,,
2018-12-03,712.9937744140625,750.2337757116761,708.824756543264,749.4843028450539,5839713,,
2018-12-04,693.553955078125,713.8837261703799,691.867627003708,713.8837261703799,7101096,,
2018-12-05,672.708984375,693.5540162763992,669.9452496080299,693.5540162763992,4837874,,
2018-12-06,666.0573120117188,676.4095520296904,661.8882943337621,672.1937030211951,3970063,,
2018-12-07,675.56640625,680.9064934676653,664.7925691470904,680.9064934676653,2716587,,
2018-12-10,665.6826171875,679.6886173619188,655.7988037950975,665.1673581350274,3150111,,
2018-12-11,676.7374877929688,683.8107919382552,650.177659585794,655.7051294201373,4383980,,
2018-12-12,703.3910522460938,705.4521456483551,675.7069854566747,679.2201933533299,3460143,,
2018-12-13,711.260498046875,716.787909564085,699.1282114504749,707.3256946668121,3510371,,
2018-12-14,709.4337158203125,715.7574894509327,704.1404602052002,705.5457432342268,1760631,,
2018-12-17,708.5905151367188,714.8206260342326,703.1099342577871,712.0100600078857,2022203,,
2018-12-18,722.2686767578125,723.2523634843595,704.8900206517624,707.8879121648364,3600834,,
2018-12-19,733.2297973632812,737.3050949010282,718.6616522210496,726.0628317005043,3361238,702.1215728759765,
2018-12-20,745.2215576171875,746.6736718916708,729.3418488929307,730.4660866858276,2707144,703.3558807373047,
2018-12-21,731.8245239257812,762.6001969627051,728.5923617776169,744.7999466650498,6125095,704.9977172851562,
2018-12-24,738.8510131835938,742.4578834991249,726.0629144628666,733.464094785966,2034516,706.9065582275391,
2018-12-26,737.9610595703125,743.3948098189657,723.252417366404,736.0405173075712,1683700,708.5905578613281,
2018-12-27,745.408935546875,751.3579437753962,738.3356323512344,744.3315290892173,3156130,710.8038757324218,
2018-12-28,752.81005859375,756.0422207879874,746.6736678662031,748.8752549303788,1820270,712.2255493164063,
2018-12-31,753.0911865234375,758.852870076091,750.6085540349443,757.822352013866,2232551,712.8321563720704,
2019-01-01,724.51708984375,754.9648898867788,722.5965477387973,754.1685856811763,3442903,713.4083221435546,
2019-01-02,694.8656005859375,724.0017780944507,688.6823211803477,724.0017780944507,10596260,713.4739044189453,
2019-01-03,672.9432373046875,697.8167372899749,670.975863793512,696.4583426747482,11084172,713.4856170654297,
2019-01-04,679.7821655273438,682.3116862092647,667.5093842817644,674.5357988531514,5919404,714.1718597412109,
2019-01-07,683.4828491210938,689.431915250117,677.8617166924132,688.1671261449942,2792255,714.5676818847656,
2019-01-08,677.7211303710938,686.902300651055,672.1936613633974,674.5357995563012,4764487,715.1696075439453,
2019-01-09,680.4380493164062,683.8575943171007,674.67642305282,682.9675702721556,2569424,715.3546356201172,
2019-01-10,686.90234375,688.4481207456397,677.1590253837428,682.0306845668714,2550750,714.5302001953125,
2019-01-11,681.9370727539062,688.5887232626363,675.7069614328931,688.5887232626363,2215240,713.0640289306641,
2019-01-14,678.798583984375,680.53180082224,669.1958159172145,679.2201803601323,1713221,711.5322723388672,
2019-01-15,681.000244140625,683.9044731404178,677.674361574294,681.5623345337725,2138402,710.1527587890625,
2019-01-16,680.3911743164062,686.2465200506266,678.7985088404762,681.3748609635331,1288969,708.0588836669922,
2019-01-17,688.2608032226562,693.2729564543066,681.9838609644826,682.967547642148,3318440,705.810433959961,
2019-01-18,688.5418090820312,691.3055436328257,682.030653358935,688.1202127639255,1601885,702.9764465332031,
2019-01-21,684.1854248046875,691.3992221632087,681.4216901904417,691.3992221632087,1341152,700.5944915771485,
2019-01-22,663.7620239257812,681.749658311016,660.6235813357688,681.749658311016,5097285,696.8400421142578,
2019-01-23,651.9107666015625,664.9330787226799,649.8028420828925,663.7620095456409,4714919,692.5375274658203,
2019-01-24,653.269287109375,655.8456395702963,642.7296634056062,654.8619527941681,3891245,687.9305450439454,
2019-01-25,640.3406372070312,659.0777443674418,637.99849881198,657.672461330411,3421228,682.3070739746094,
2019-01-28,630.5504760742188,640.3406258277788,625.3509403658264,640.3406258277788,5762442,676.1800384521484,
2019-01-29,627.3651733398438,634.1573742520943,619.8234424441123,629.5199290895772,4860919,671.3224426269531,
2019-01-30,635.7969360351562,637.061667944659,627.9741591862842,629.4731621254115,2738163,668.369009399414,
2019-01-31,637.1084594726562,639.8721941486127,630.269426959706,635.1879174710973,3496189,666.5772705078125,693.4294226074219
2019-02-01,644.93115234375,670.2262431277786,637.5768046034345,645.4932425998422,8005192,664.8347198486329,691.9173376464844
2019-02-04,631.8621215820312,644.9312655507384,628.0209802208044,644.5565005268236,2652101,662.2536834716797,690.57482421875
2019-02-05,641.6522827148438,648.8660235092805,630.1758041295476,632.6116052833684,3550741,660.4502410888672,689.3943859863281
2019-02-06,651.2081298828125,654.159247103091,638.9821790208676,644.4628171183689,2221744,658.9887451171875,688.3329272460937
2019-02-07,656.6419067382812,664.1367491850308,649.3343896078126,651.1144375613595,2710457,657.4757232666016,687.4429138183593
2019-02-08,639.0289916992188,662.0756669087252,635.7031667452791,657.672435462993,10858152,655.3303192138671,685.7359619140625
2019-02-11,606.6607055664062,630.8784520741616,604.4591182389357,627.1310304572818,7931599,651.7234252929687,683.0499951171874
2019-02-12,607.7380981445312,616.2634592539655,603.3348664099747,606.1454325578472,3357448,648.0603179931641,680.9448815917968
2019-02-14,594.3410034179688,601.8358455433852,592.3735730513824,600.2431801555127,3530468,643.7578094482421,678.9606225585937
2019-02-15,587.923583984375,596.6832161213963,579.7260993856495,594.9031680217986,5765467,638.7409484863281,677.2649145507812
2019-02-18,585.2534790039062,590.2188003323861,576.7280620237749,590.2188003323861,4750172,633.5765319824219,675.648837890625
2019-02-19,592.6546630859375,601.461126122797,585.7687992340792,587.4082960731989,3526711,628.9999938964844,673.9906030273437
2019-02-20,593.544677734375,597.0578851913866,588.4856933049448,596.7768400310479,2369483,625.489126586914,672.5478442382813
2019-02-21,594.153564453125,595.7930610122224,585.5344853919353,593.5445857158766,2813880,622.6012664794922,670.8961657714843
2019-02-22,605.7706298828125,607.644340531607,592.3267788501565,594.903130992249,4053346,620.2263336181641,668.9437573242187
2019-02-25,609.6118774414062,612.6566577772244,601.7422684702279,608.8624044872753,1863303,618.6898956298828,666.9107849121094
2019-02-26,610.1738891601562,614.5771208217789,599.587434948077,604.0843292739648,3862642,617.6710662841797,664.9255883789062
2019-02-27,614.7176513671875,620.1982322083666,606.2859533462279,613.1718171909001,3193418,617.0386901855469,663.0481311035156
2019-02-28,605.1148681640625,621.8377125906668,601.9295372346568,621.8377125906668,3955320,615.5045867919922,660.7050549316406
2019-03-01,608.6749877929688,610.8297438580851,600.5243340690683,608.9560329873548,3957539,614.0829132080078,658.2139587402344
2019-03-05,615.2797241210938,616.3571305987746,601.507939644019,608.815399617229,6039244,612.600341796875,655.6151220703125
2019-03-06,617.2941284179688,622.868373047931,612.7035134721045,618.3246466232248,7495708,611.8719421386719,653.3245141601562
2019-03-07,629.3794555664062,634.7195428613896,612.8908231556641,619.9172387592956,8703088,611.25830078125,651.1350830078125
2019-03-08,627.8335571289062,636.7805131658616,624.3203500059312,629.5667164371317,3877059,610.0895721435547,648.9325329589843
2019-03-11,638.0452880859375,640.6684714792613,629.0983314428163,629.5199277623581,4027884,609.1597412109375,646.7852600097656
2019-03-12,644.4628295898438,649.3344317515242,640.2000919267028,643.5259742231954,3876498,609.4314331054687,644.6183154296875
2019-03-13,640.996337890625,645.867996356315,638.2326036203784,644.9311411583401,1808059,611.1482147216797,642.3764184570313
2019-03-14,642.589111328125,644.5564847025918,634.3916269659918,639.8722079242299,1901877,612.8907653808594,640.7378588867188
2019-03-15,650.7396240234375,652.988099462177,643.6195471026049,644.7906161475514,5208071,615.7106964111329,639.8553393554688
2019-03-18,640.996337890625,659.7334418501224,638.9820763425377,652.0512177905077,2600716,618.3643341064453,639.2164013671875
2019-03-19,645.8681030273438,649.9902322705785,632.4710257387705,642.6827719557012,2331409,621.3950653076172,638.5381201171875
2019-03-20,635.75,650.5054713531404,633.4547502010671,645.4933182421371,2369729,623.5498321533203,637.5834631347657
2019-03-22,635.9373779296875,641.2774646743741,627.6930625738943,635.8437152704043,2770303,625.669467163086,636.7477880859375
2019-03-25,622.6340942382812,632.3774135566379,621.5099134701856,629.5668472741639,2337486,627.0934936523438,635.591708984375
2019-03-26,627.3182983398438,629.9415389763011,619.2613654738984,622.6809102585662,2434715,628.1708770751953,634.4000280761719
2019-03-27,618.371337890625,630.1757491427323,616.9660549211677,629.6136016462832,2426853,628.6088500976563,633.1287133789062
2019-03-28,614.5302734375,620.900878331194,612.328629073641,617.4345021272229,3910004,628.8266693115235,631.8433471679688
2019-04-01,619.167724609375,645.4933371111283,617.3876765692795,635.328479420938,5458057,629.0491729736328,630.6066967773437
2019-04-02,626.3814697265625,628.5362827956794,619.6829882229616,623.0088133089145,3802792,630.1125030517578,629.5265026855469
2019-04-03,616.8724365234375,634.0168785447224,615.4203221203634,630.3162883567423,2745080,630.5223754882812,628.0987353515625
2019-04-04,612.0944213867188,620.8540532370153,610.0802166884878,619.2613877023147,3684739,630.3631103515625,626.5697875976563
2019-04-05,616.6382446289062,621.1351391776797,612.7034404558108,615.9824344032043,2694077,630.3303161621094,625.2188439941406
2019-04-08,624.8824462890625,626.1471779930672,616.731794249071,618.6992245655412,3413270,630.1054656982421,624.4412524414063
2019-04-09,625.6788940429688,627.5057736202199,618.7461979703061,625.6320627063458,2401571,629.9977325439453,623.9166149902344
2019-04-10,627.9273071289062,632.3773701037102,621.2287684101772,630.1288943597849,2499060,629.4918334960937,623.409775390625
2019-04-11,630.2694091796875,636.827396343207,627.0372469271593,627.0372469271593,4863931,628.7821624755859,623.2083508300781
2019-04-12,635.375244140625,636.5931445335333,625.397712821851,631.4404406410617,3302657,628.501107788086,623.3048461914062
2019-04-15,640.0595703125,642.6827537897052,630.7846797104373,637.0616218323607,2408677,628.3746307373046,623.5587341308594
2019-04-16,644.650146484375,651.5828989793176,641.5585352511055,643.8538423055874,3002929,628.0701568603515,623.7357983398438
2019-04-18,641.4180297851562,648.2570623136791,638.232698764748,646.0554179615666,2996875,628.0912414550781,623.8219897460938
2019-04-22,630.87841796875,642.4485587129359,628.5362795848166,637.9984957834624,1483513,627.3417572021484,623.5409350585937
2019-04-23,623.7113647460938,633.1735796264652,621.8376542999921,628.6298546671106,3248237,626.7398254394532,623.377919921875
2019-04-24,625.9598999023438,626.94358654422,620.4324306862995,625.8193487330284,2247998,626.2409515380859,623.064072265625
2019-04-25,623.1494140625,630.503706338278,622.0720074422237,629.3794683825805,3169504,626.2667175292969,622.5028979492188
2019-04-26,617.8092041015625,626.1940699988571,610.3611934513152,624.5076848092868,3632433,625.7912628173829,621.7262438964843
2019-04-30,604.5526733398438,620.3855497264896,599.5873520171726,618.0434116326725,5042085,625.1003295898438,621.0367175292969
2019-05-02,605.1148681640625,618.9803153287321,595.09050490152,605.2085308227055,3007579,624.6295593261718,621.00580078125
2019-05-03,605.0211181640625,611.2980598702158,602.2573836985428,604.3184767159358,2330580,623.9222290039063,620.9514611816406
2019-05-06,598.18212890625,604.2716885583889,594.9967979080712,599.5874119028974,1498420,622.5122619628906,621.0282836914063
2019-05-07,595.8399658203125,602.3042902087312,594.1536377306278,601.2268837502918,3160875,621.4606384277344,621.186611328125
2019-05-08,582.3961791992188,596.7768866406404,579.9134895299159,595.418434881609,3853705,619.9757263183594,621.1294653320313
2019-05-09,585.9562377929688,588.2983763586284,577.196605248731,581.6935570396915,1366143,618.4416259765625,620.9954968261719
2019-05-10,589.0478515625,591.9520805228065,579.9135111207753,586.7057129876988,2093110,616.6498962402344,620.9055603027343
2019-05-13,578.6018676757812,589.0009968437207,576.166066527137,589.0009968437207,1463136,614.296044921875,620.5945263671875
2019-05-14,575.4634399414062,581.3656176327871,571.9970634619868,577.9461296691151,2756314,611.6728515625,619.9883825683594
2019-05-15,571.1538696289062,588.7199069071538,568.6243488246164,578.9765886910415,2805369,608.717074584961,619.2192224121094
2019-05-16,567.0316772460938,573.9644294231576,559.4900034252632,571.4817399754105,1940170,605.2998962402344,618.3563781738281
2019-05-17,580.5224609375,583.192475906554,568.6712174703266,568.6712174703266,2599966,602.3230407714843,617.6724743652344
2019-05-20,612.000732421875,620.6666440558625,592.3267708744439,594.9031229818456,4938702,600.6905700683594,617.8101916503906
2019-05-21,598.7911987304688,620.8541336940825,594.341135231563,618.3246124795331,2150188,598.559228515625,617.6125158691407
2019-05-22,600.1027221679688,603.1943335884995,591.3899782806122,603.1943335884995,1458607,597.0204437255859,617.3089758300781
2019-05-23,599.1190185546875,613.6402770184837,594.996831989293,608.9560000946784,3161573,595.7908264160156,616.9454736328125
2019-05-24,623.4303588867188,625.3509007787313,597.5731187930454,604.0374431117409,3165620,595.6643493652343,616.8264916992188
2019-05-27,636.45263671875,639.8721814981757,623.0087857925137,625.5383065845851,2987573,596.3295104980468,616.9988732910156
2019-05-28,628.2083129882812,639.1695314870142,625.1167019196924,637.0616070519159,5411769,596.8494659423828,616.8021337890625
2019-05-29,629.7073364257812,634.7194895966459,619.1208253931544,625.8193639122649,5418102,598.1071990966797,616.5070239257813
2019-05-30,619.917236328125,625.3509862707336,614.9050255751879,618.324570694658,5394745,598.8473175048828,616.0854418945313
2019-05-31,606.1922607421875,623.8988502542622,604.3653813193363,618.0435041432738,4226041,598.905874633789,615.3575048828125
2019-06-03,612.141357421875,617.3877249281804,594.9500260685429,606.1922911658694,4170532,599.6038360595703,614.5855395507813
2019-06-04,609.6586303710938,617.7624521720217,606.8948956008799,613.4528831730622,1640476,600.2947692871094,613.9587854003906
2019-06-06,594.0599365234375,614.1086632770865,591.4835843891706,612.9844254550025,3846513,600.8779571533203,612.9226220703125
2019-06-07,603.3816528320312,604.9274869707476,590.2656784515398,599.5874002510398,2173168,601.7492279052734,612.2752551269531
2019-06-10,606.0985107421875,608.3938175231797,597.9010273680052,602.7726860665977,2306052,602.6017608642578,611.6784777832031
2019-06-11,596.6362915039062,607.0354199314039,595.8399873492331,607.0354199314039,2274832,603.5034820556641,611.1585217285157
2019-06-12,592.2799682617188,598.5569105912201,589.7036160294028,593.0294411112608,1734002,604.3443084716797,610.4577551269531
2019-06-13,600.5711669921875,602.1170013370735,588.4388776359141,592.0926367159439,2141936,605.8151733398438,610.1017517089844
2019-06-14,597.0111083984375,600.5243161763805,593.4042379521959,599.6342921030783,1338649,607.3141448974609,609.7513684082031
2019-06-17,585.5814208984375,601.4142990727875,582.9582373733975,600.5242750604224,2647789,607.5670928955078,609.0796423339843
2019-06-18,586.3777465820312,590.0314478900258,580.9439401764706,584.597698665574,2252507,606.2859436035156,608.2795678710937
2019-06-19,576.3065795898438,592.4204455340373,569.6080411024607,590.0783072071357,2316163,605.1617126464844,607.4682507324219
2019-06-20,587.548828125,591.1088668521516,572.6528058847562,575.97863078537,2283701,604.5340179443359,606.9773388671875
2019-06-21,587.829833984375,593.4509654455096,582.9581752818372,587.4082376885686,2713987,603.9695587158203,606.4011706542968
2019-06-24,594.7625732421875,596.7768350398053,586.4714265854287,586.4714265854287,2166403,602.5361694335937,605.7987731933594
2019-06-25,601.1332397460938,603.9438057098138,594.9031289874033,594.9031289874033,3352119,600.7701995849609,605.3078601074219
2019-06-26,602.8663330078125,606.6137538812098,599.5873397435897,599.5873397435897,2124949,599.5031005859375,604.806640625
2019-06-27,616.3572998046875,619.0741466376802,604.2718401296443,604.2718401296443,3744033,598.8355987548828,604.5283984375
2019-06-28,613.9680786132812,620.6197853421011,610.3612086945135,618.1370960029802,3503838,598.5381408691406,604.1002551269531
2019-07-01,618.3245849609375,621.5567476367296,613.1250487508986,615.7950638589647,3547891,599.1447570800781,603.6655554199219
2019-07-02,624.1798706054688,626.2877951215848,614.858148531311,619.2613800678647,2275170,599.7466827392578,603.2561499023437
2019-07-03,626.9905395507812,632.3774586429247,621.4162379235564,626.7094943387199,2615478,600.6132781982421,602.9676000976563
2019-07-04,629.7073364257812,631.6278784267148,623.2898430710079,629.0983575854578,1777421,602.3956481933594,602.9441784667969
2019-07-05,601.5079956054688,632.6584375245346,598.1821703856713,629.5668261537527,3039710,602.3019653320313,602.5001110839844
2019-07-08,595.699462890625,604.4590948903914,586.6588428977857,599.9153120467685,3903971,601.7820129394531,601.89490234375
2019-07-09,592.7483520507812,598.1821012840148,590.2188313373991,592.0925419130734,1260744,601.5876159667969,601.2868811035156
2019-07-10,582.3961791992188,595.933693912658,580.0071521969737,590.2188988753586,2081711,601.0934265136718,600.5786206054687
2019-07-11,594.1068725585938,595.5121556533335,584.2230023806983,585.9093878392785,1399434,600.7702117919922,600.3697045898438
2019-07-12,591.9989013671875,596.7768406411637,588.8135703971293,594.0599373325193,1806912,600.5196014404297,600.1073852539063
2019-07-15,591.9520874023438,597.7137712357627,585.9562468898409,592.1394699267291,2223638,600.838134765625,599.8460046386718
2019-07-16,583.5671997070312,588.2514762910303,579.7728899291036,585.2535278410487,3177195,600.697607421875,599.5537060546875
2019-07-17,578.9298095703125,586.8930805212628,576.4471198719815,583.6609179343598,1881478,600.8287689208985,599.2155029296875
2019-07-18,567.4832153320312,585.5792111187623,565.2033801868897,583.1569225136844,4915489,599.82548828125,598.9172436523437
2019-07-19,542.6903076171875,571.377957301885,541.4554208845792,571.045507866476,6294798,597.5685119628906,598.0519250488281
2019-07-22,536.6107788085938,547.8198430073157,531.8611704211168,542.6902427573934,4198301,594.660922241211,597.00318359375
2019-07-23,531.1011352539062,538.6055389706925,528.0138901010761,537.7505863523099,4805198,591.1593170166016,596.0531689453124
2019-07-24,522.4569091796875,529.9613134302605,518.6572225674715,529.1063607510654,3041526,587.1388458251953,594.9930383300781
2019-07-25,520.129638671875,525.3067237658341,514.7626156122544,522.456958537448,4763735,582.3274627685547,593.9725537109375
2019-07-26,536.1832275390625,538.0355861470788,517.7072418976359,518.5621944793695,5063750,578.4382202148438,593.3555847167969
2019-07-29,525.44921875,536.7057678578719,524.4992970369773,535.7558461448491,2984154,573.7944519042969,592.2541198730469
2019-07-30,521.26953125,533.1910369521122,520.1296136178297,524.1667808302443,3186153,568.6489349365235,590.4394958496093
2019-07-31,522.4569091796875,526.0665998655693,514.6200555419922,519.2271523678573,2986522,563.4222534179687,588.9128100585938
2019-08-01,521.0795288085938,524.1667742854218,512.2927532206985,518.6572401071139,2737518,557.9908630371094,587.3323461914063
2019-08-02,528.583984375,535.613370737195,515.0001145604568,517.6123994470468,5848740,554.3446624755859,585.9216455078125
2019-08-05,518.1347045898438,526.494002368672,515.1899130911895,522.8843121890199,3152495,550.4664245605469,583.815732421875
2019-08-06,521.9344482421875,524.5942171953955,515.8074421676772,515.8074421676772,2811436,546.9257293701172,581.5253686523438
2019-08-07,492.3443908691406,523.8818019667617,489.2096609481093,523.8818019667617,8411409,542.4231399536133,578.8080902099609
2019-08-08,512.5301513671875,514.3825099516549,490.4919602130568,492.53431469978403,5648169,538.3443038940429,576.4645465087891
2019-08-09,518.2296752929688,520.8419594812996,503.4584072055832,513.8125749980471,4313483,534.655842590332,574.430795288086
2019-08-13,486.7398681640625,517.7072902226306,484.69751346072894,517.7072902226306,3618940,529.395231628418,572.0417474365235
2019-08-14,497.3314208984375,499.5162288896441,477.3830681482181,490.0645557551669,4641413,525.0834426879883,569.7455487060547
2019-08-16,501.41607666015625,505.2633053948479,489.7320529652189,498.4238585070322,3120580,521.2077560424805,567.580697631836
2019-08-19,494.4816589355469,508.92047831548825,492.0593705411534,500.6086646239147,2998027,517.5576782226562,565.5891320800781
2019-08-20,501.3686828613281,508.2081309862127,491.58450053339266,496.7141011217116,3175896,515.4915969848632,563.5488726806641
2019-08-21,494.8142395019531,508.77804218752425,492.1544123441113,501.8436253342816,2709407,513.4017700195312,561.3231872558594
2019-08-22,486.1698913574219,497.5214667286241,484.3175615240459,495.4316274922268,2516270,511.155207824707,559.1138592529297
2019-08-23,506.545654296875,509.4429033586412,483.7475376477892,485.40990032011837,2807785,510.3596450805664,557.3991729736329
2019-08-26,517.0422973632812,525.021661718157,502.41354001749073,525.021661718157,4036331,510.20527801513674,555.7285955810547
