Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
Date,,,,,,,
2018-11-21,494.888671875,509.38539806480344,492.28728602135544,505.82790977537366,16422494,,
2018-11-22,490.4195861816406,500.4249844525121,489.1967107672728,495.60015378690093,12670591,,
2018-11-26,493.4878845214844,496.93417502494316,487.9960473368308,493.1543811553079,13969873,,
2018-11-27,501.6923522949219,502.4927604495133,491.5757857200251,492.665259836989,14896607,,
2018-11-28,512.5647583007812,514.832640193213,500.84734873367154,503.5821055790375,17507771,,
2018-11-29,519.613037109375,524.682406529088,515.833213915895,516.2778850283892,27640198,,
2018-11-30,519.1906127929688,527.3950032870343,516.8560002063974,521.3028304362663,23443212,,
2018-12-03,514.2546997070312,522.4590910850749,510.71941526791136,522.4590910850749,12182825,,
2018-12-04,512.4092407226562,514.9439259920243,507.91794275776755,514.9439259920243,11358720,,
2018-12-05,513.6766357421875,515.2997748795739,506.62838854429,508.60726468647596,12729759,,
2018-12-06,499.6690979003906,510.94178056272494,497.2677842431366,510.94178056272494,12831451,,
2018-12-07,504.1825866699219,505.58333067007663,492.86537781286086,502.2482372161183,15779984,,
2018-12-10,484.81658935546875,495.5112281320951,481.6371013493278,493.599082679723,20521072,,
2018-12-11,488.06280517578125,490.08611853621704,469.1415110006821,474.033013014826,29518062,,
2018-12-12,493.8213806152344,495.1554534289392,483.70484483129354,488.7075139875586,27572962,,
2018-12-13,492.2872619628906,501.6033901811685,486.9510594738557,501.6033901811685,20337275,,
2018-12-14,494.5773620605469,495.7780038716629,485.5058032769813,490.5307357848042,15795834,,
2018-12-17,502.4482727050781,503.8268127278275,494.2661152259523,496.24496134000356,11077711,,
2018-12-18,505.33880615234375,506.49495133615227,498.26829620751096,499.51343500488264,12841994,,
2018-12-19,505.51666259765625,510.1858290814059,503.9157868587939,507.60667667186027,16118419,502.14591522216796,
2018-12-20,501.80352783203125,503.6044757854226,496.3338942422521,498.49057913768144,12609700,502.49165802001954,
2018-12-21,489.2411804199219,503.04860635781375,487.3735021084379,500.26932244943106,18115814,502.43273773193357,
2018-12-24,484.3274230957031,490.57523133467276,483.1712483333816,489.5524579275047,9065704,501.9747146606445,
2018-12-26,488.41851806640625,489.15225520609124,473.87735473417604,482.8377462721944,15771193,501.31102294921874,
2018-12-27,498.1348571777344,501.15874001330144,490.93100577885446,492.35398327412855,27294221,500.5895278930664,
2018-12-28,500.5139465332031,504.82737590371954,498.57953776326934,500.4916832889124,16768547,499.6345733642578,
2018-12-31,498.601806640625,504.2048419210655,496.356157690136,502.9152360598734,15799099,498.6051330566406,
2019-01-01,498.4906005859375,501.29214786232393,493.64356580482286,500.3805422248043,9746670,497.8169281005859,
2019-01-02,491.99822998046875,501.15872336812794,489.5969165762727,495.60015556027656,15628818,496.79637756347654,
2019-01-03,485.9282531738281,495.6445847889244,484.7498449627818,492.48733062662166,16288287,495.4089584350586,
2019-01-04,488.55194091796875,491.13112295781303,480.74775348639315,487.99610191217863,18516544,494.8531005859375,
2019-01-07,491.2644348144531,497.35660731392034,489.5968587322507,492.26497452691046,12060290,494.2071929931641,
2019-01-08,491.22003173828125,493.57684836932714,487.3735072802789,491.4201337699942,12304389,494.52736511230466,
2019-01-09,493.93255615234375,496.71183992612765,488.5741203089974,494.48842478082963,12614237,494.8208526611328,
2019-01-10,492.48736572265625,494.04377419977465,490.4862860716892,492.59853351611844,8925160,494.75415191650393,
2019-01-11,488.28515625,495.2889357722093,484.08289447353985,492.53188514856754,14139060,494.5540466308594,
2019-01-14,487.7292785644531,489.3745916363414,483.10454981021815,486.92884074563796,8994060,494.2116424560547,
2019-01-15,502.337158203125,503.38216520660575,491.3756866044057,491.3756866044057,22011407,494.20608673095705,
2019-01-16,505.1164245605469,509.1630510728316,502.64841043601535,504.7161611262395,13961606,494.19496765136716,
2019-01-17,504.47161865234375,510.45259446398273,502.49274284207854,508.9184492037804,16379077,494.14271545410156,
2019-01-18,526.6613159179688,529.1293300822731,504.8273667420513,510.85280980484947,56181172,495.38560485839844,
2019-01-21,550.38525390625,551.385793856642,528.573506735167,530.9525868652364,48206814,498.4428085327148,
2019-01-22,549.251220703125,554.4985184377442,542.3363764530338,548.2284770466869,36207430,501.6889984130859,
2019-01-23,545.3157348632812,553.2755851789117,543.4035897283505,548.4284919909994,19313542,504.5338592529297,
2019-01-24,554.7208862304688,557.2778345730263,542.5588029080949,544.7377510626503,28775487,507.36316070556643,
2019-01-25,554.0760498046875,562.3916378569832,549.3624168361791,556.0549254924592,18703992,510.0412658691406,
2019-01-28,546.7610473632812,558.5007230218457,543.5815592935013,556.0771759770403,18744303,512.4492279052735,
2019-01-29,538.3565673828125,547.6949599864604,534.2210062373374,547.405894004788,20405845,514.4425262451172,
2019-01-30,531.7084350585938,544.7377153830962,529.662888392258,540.290885129087,17164298,516.4280364990234,
2019-01-31,545.69384765625,546.8277889012099,534.0653692421624,534.5100404424111,22279301,519.4163162231446,507.3740594482422
2019-02-01,555.83251953125,558.0781978668495,545.649312834436,548.7398663456796,20187323,522.7803451538086,508.5929364013672
2019-02-04,574.0424194335938,576.7327691603633,552.3196086388238,554.5207606926173,25528059,526.9192443847656,510.26539306640626
2019-02-05,574.3314819335938,580.0457150170757,568.572841095863,574.5316136709903,20479210,531.0748168945313,511.88226501464845
2019-02-06,582.64697265625,585.9376579308329,575.5320560913038,576.42139839868,20586783,535.5105377197266,513.501357421875
2019-02-07,573.8201904296875,587.5164217068435,571.9080446071201,582.6471228967551,20150710,539.5771789550781,514.7264660644531
2019-02-08,568.1725463867188,578.3113456353781,565.7489995219256,571.3297709781081,14230054,543.5715484619141,515.69765625
2019-02-11,557.300048828125,567.4166449072653,556.2995089683704,567.3721777883574,16457901,547.0500869750977,516.4598449707031
2019-02-12,558.7008056640625,565.7935190840021,556.5218574185877,556.5218574185877,13998153,549.8682693481445,517.3487670898437
2019-02-14,544.3820190429688,551.8527332372782,541.6249980277621,551.8527332372782,14496604,551.8315490722656,517.98822265625
2019-02-15,553.3867797851562,555.810326626612,539.8461572542001,546.8499357176113,20994460,554.2773071289063,518.7824255371094
2019-02-18,542.558837890625,556.9666006579668,540.290955353684,555.8548632656433,21106139,555.0721832275391,519.640220336914
2019-02-19,540.7800903320312,551.2746276536953,538.6011420504902,541.624965624784,13658461,554.5919250488281,520.3721704101563
2019-02-20,548.8955688476562,551.40805031561,542.0696577706717,544.2264022595144,13776558,554.5741424560547,521.65375
2019-02-21,554.4762573242188,559.3233510379694,546.6720707342224,549.6292229791139,23142949,555.0321685791016,522.9820190429688
2019-02-22,548.0062866210938,553.764928024916,545.1825349861116,553.4536581339879,19152470,554.6964385986328,524.065717163086
2019-02-25,547.9839477539062,552.742107821758,542.8033797195588,549.6292906047091,17176522,554.3918334960938,525.1796508789063
2019-02-26,542.62548828125,549.0956619235902,536.2887753653348,537.8451245393707,22160532,554.1850555419921,526.1406134033203
2019-02-27,544.0706176757812,553.5868766118792,537.6227082452347,546.0939603512974,24308835,554.4707580566406,526.9730603027343
2019-02-28,547.4280395507812,551.3412646659417,545.4269598752707,548.6287111035471,24688859,555.25673828125,527.8148449707031
2019-03-01,545.20458984375,552.4529670830805,543.5148394691456,550.0738873711305,17329606,555.232275390625,528.608603515625
2019-03-05,550.363037109375,551.319109914387,541.8917832299436,544.0262644494293,15577500,554.9588012695312,529.5797937011719
2019-03-06,562.4361572265625,566.1270468840365,549.2290665171735,551.3190805032713,26332276,554.3784881591797,531.0436932373046
2019-03-07,564.859619140625,569.1063174675843,559.4789203838766,562.0803355366173,17738092,553.9048950195313,532.6543371582031
2019-03-08,563.458984375,566.7274068521014,561.1911018140993,562.9920499157988,13211934,552.9454956054688,534.155146484375
2019-03-11,579.9122314453125,583.4251930254334,563.8591274031988,564.7707329778415,21258869,553.25009765625,535.7906939697266
2019-03-12,592.0299072265625,593.2083156201982,584.4257920428238,585.6042004364595,24561597,554.4429656982422,537.6210131835937
2019-03-13,599.12255859375,604.7700011248371,590.5846347537425,594.5423268583403,24577591,556.5340911865235,539.6314282226563
2019-03-14,596.5656127929688,605.6594053107309,594.1420658815271,600.2120350971369,22753310,558.4273315429688,541.5929284667968
2019-03-15,587.7163696289062,604.23634734576,583.0694079065258,598.099707656035,34764353,560.5940490722656,543.5072912597657
2019-03-18,600.3453979492188,603.8584186781022,590.9848033317016,591.8741456080553,22104063,562.9419799804688,545.7956341552734
2019-03-19,612.129638671875,613.6637840318997,597.2549414208606,604.770062981689,21448030,566.4205200195313,548.2671881103515
2019-03-20,611.6404418945312,617.2212140144412,606.5488081067413,612.6854489247503,21639437,569.9635375976562,550.6747082519531
2019-03-22,596.6546020507812,614.0639844657932,594.4089827675687,610.3286275838059,25078643,572.3514892578125,552.7833996582032
2019-03-25,588.96142578125,594.4755256745848,585.5151356111558,591.696242172323,17394088,574.0757476806641,554.6839770507812
2019-03-26,607.9939575195312,609.9283065865801,591.4294535742133,591.5628549109531,20734876,577.0751312255859,556.9941088867188
2019-03-27,599.9898071289062,612.7522281139355,597.7663915280042,612.7522281139355,22079870,579.675424194336,559.2282019042968
2019-03-28,604.77001953125,609.1279751855097,597.1214971568348,600.4343864888832,22930248,582.7826507568359,561.5690167236328
2019-04-01,618.9332885742188,625.5812716150122,605.9040658511692,609.2169554334296,22088854,586.5257843017578,563.9009393310547
2019-04-02,617.9771728515625,623.9359447841351,613.7082107757865,621.6680623919196,17526740,590.0532409667969,566.158154296875
2019-04-03,611.5292358398438,623.8914503447172,610.106228754018,619.3334225165113,17169813,593.3694732666015,568.299306640625
2019-04-04,601.6795043945312,615.3090614383648,599.10029291152,613.2190476033604,18320845,595.9352966308594,569.7996704101563
2019-04-05,602.0574340820312,606.5042643677637,597.2103997569392,605.1924547766507,14717266,597.9163604736328,570.8331140136719
2019-04-08,591.0960083007812,603.6583552715974,588.6280535203862,602.9913484888758,19081843,599.2281799316406,571.670009765625
