Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,,
Date,,,,,,,
2018-11-21,15518.53125,15643.099416587962,15189.105186906405,15484.704214074483,17571,,
2018-11-22,15298.119140625,15746.184249917302,15214.523125717113,15601.34929385596,13574,,
2018-11-26,15548.7109375,15576.365852608116,15290.341145881825,15503.12252236708,22387,,
2018-11-27,15574.375,15649.951629764859,15294.182543026105,15294.182543026105,14788,,
2018-11-28,15551.7255859375,15642.125922324318,15455.103771426951,15553.718091671664,10403,,
2018-11-29,15946.1318359375,16199.059496192422,15538.16464407469,15538.16464407469,45943,,
2018-11-30,16026.4716796875,16282.459764886185,15922.122859820438,15941.56379127321,34147,,
2018-12-03,16323.8701171875,16378.984397261276,15877.3115516004,16029.047638625427,22955,,
2018-12-04,16213.693359375,16474.25129722789,16113.525062796283,16377.04660465515,18424,,
2018-12-05,15957.505859375,16264.720041939248,15798.283870122119,16051.598829224069,16437,,
2018-12-06,15621.763671875,15941.567059843817,15552.748351067139,15747.157705455478,37205,,
2018-12-07,15881.2001953125,15941.563908210455,15612.963751772415,15613.206763417358,4929,,
2018-12-10,15573.841796875,15745.602649576445,15492.286693835933,15565.044963531622,8961,,
2018-12-11,15546.8173828125,15673.280272984928,15363.343576590352,15455.541822157054,16368,,
2018-12-12,16154.4423828125,16251.890054084955,15601.347869555366,15630.509267442385,12640,,
2018-12-13,16227.052734375,16310.941111061973,16074.733799382113,16233.177387052143,11309,,
2018-12-14,16415.62890625,16671.715695598727,16147.68580754987,16573.392812492264,28268,,
2018-12-17,16455.486328125,16594.53836896224,16185.549717023167,16340.83417845458,11384,,
2018-12-18,16554.001953125,16693.92729327501,16290.964640336972,16533.296602392646,8998,,
2018-12-19,17006.775390625,17347.137772518592,16529.64685765318,16679.34198356195,56675,15969.807275390625,
2018-12-20,17008.6796875,17059.370404620953,16777.137021981118,16960.271001913858,10292,16044.314697265625,
2018-12-21,16666.61328125,17031.713584845867,16597.35496472914,17031.713584845867,31747,16112.739404296875,
2018-12-24,16286.2529296875,16758.03540625491,16253.592540935879,16573.395898747487,23036,16149.61650390625,
2018-12-26,16597.16015625,16795.993045849988,15898.404844016972,16165.134808292452,16252,16200.75576171875,
2018-12-27,16473.662109375,16912.63795240075,16330.382067954053,16632.688545521534,69346,16246.852587890626,
2018-12-28,16745.494140625,16865.006496414502,16330.380930245741,16427.58557864006,15162,16286.820703125,
2018-12-31,16754.294921875,16924.306281341065,16698.208582760697,16719.20441324831,10698,16323.211865234374,
2019-01-01,16498.791015625,16871.08488739289,16191.088885174051,16777.52539611963,12171,16331.95791015625,
2019-01-02,16466.421875,16717.25928746005,16303.167389770899,16495.38962631557,13931,16344.5943359375,
2019-01-03,16474.63671875,16846.930605951973,16330.384608337277,16398.42787753868,24843,16370.45087890625,
2019-01-04,16269.2412109375,16544.233581250486,16145.111616158229,16379.082479720186,30506,16402.824755859376,
2019-01-07,16448.681640625,16510.11613027332,16330.481143359484,16476.191321239487,11758,16431.198828125,
2019-01-08,16285.525390625,16426.424708991224,16148.612982837085,16380.1537639367,10883,16466.7830078125,
2019-01-09,15888.4912109375,16466.955775109946,15766.887609150472,16403.28672146515,23593,16483.86669921875,
2019-01-10,16035.0283203125,16135.974988956348,15844.166383941752,16009.608919765726,9641,16477.89599609375,
2019-01-11,15468.3720703125,15902.196275945733,15377.777137776919,15874.68754715136,47981,16439.961962890626,
2019-01-14,15063.37109375,15630.511968169325,14970.832051946263,15630.511968169325,43144,16372.349072265624,
