Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS,,
Date,,,,,,,
2018-11-21,746.0824584960938,756.1813717596999,739.730726013933,753.9193745007325,284402,,
2018-11-22,750.6293334960938,756.4099192894822,741.3529740188345,747.2249299839854,251788,,
2018-11-26,753.0511474609375,761.7334328614033,743.9576405351568,752.2514632793157,358602,,
2018-11-27,754.1935424804688,760.842367463714,744.8715544953352,760.842367463714,223024,,
2018-11-28,774.1170654296875,776.8359690086036,746.6764549176813,756.2726639466111,333164,,
2018-11-29,783.5077514648438,788.26017177271,771.3525622912084,773.1804119648843,698782,,
2018-11-30,810.5599365234375,813.3930811225954,772.2664646613406,783.5077286711082,760504,,
2018-12-03,801.1007080078125,823.4004936512185,796.2569181127599,815.6092630437265,829930,,
2018-12-04,795.4116821289062,814.1928272515578,791.7787972629523,803.157173172209,408382,,
2018-12-05,787.0264282226562,799.6842654256316,773.5917214071961,791.4589415526822,240302,,
2018-12-06,773.7515869140625,791.5959910184968,769.5246846970508,783.690519154063,204856,,
2018-12-07,770.507080078125,782.7765080586387,764.703624745604,772.2206888961168,190382,,
2018-12-10,771.3297119140625,782.3196806754218,763.127258602777,769.981695057293,468284,,
2018-12-11,766.1431884765625,786.1809796010009,760.9566761234877,766.3259846023653,664112,,
2018-12-12,805.3732299804688,810.5597970111693,767.810949056967,772.700423637619,590122,,
2018-12-13,815.9749145507812,833.3166151871297,801.7176543095837,806.5386299057735,791900,,
2018-12-14,813.6671752929688,828.3585264719342,805.6017784010496,812.4790843012544,623472,,
2018-12-17,808.160888671875,820.2018369617603,804.253837772352,813.4387710133296,200106,,
2018-12-18,789.082763671875,809.7374436463988,785.0843423220409,806.0817441265505,517196,,
2018-12-19,818.6024780273438,825.2284330176475,791.7102511712823,798.5418169348741,430468,784.4136535644532,
2018-12-20,825.388427734375,829.3868491836073,804.2539143598616,814.8326062647117,325128,788.3789520263672,
2018-12-21,815.1751708984375,838.5259365024991,811.1081947095018,824.3372328120076,608564,791.6062438964843,
2018-12-24,808.640625,821.1614055000485,804.5508339685845,811.3823993088482,133502,794.3857177734375,
2018-12-26,801.1693115234375,807.886636354351,785.0613872506862,801.9689957071911,263026,796.734506225586,
